A1,-6.6,C(=O)(c1c(c(S(=O)(=O)c2c([nH]c3c2cc(Cl)cc3)C(=O)N)cc(C(=O)C(=O)C=O)c1)C(=O)C(=O)C=O)C(=O)C(=O)[C@H]1CNC(=O)CN1
A2,-8.5,C(c1cc(S(=O)(=O)[C@H]2[C@@H](Nc3ccc(Cl)cc23)C(=O)N)cc(C)c1)C/C=C\c1ccccc1
A3,-9.1,C(=Cc1ccc(cc1)CCc1cc(S(=O)(=O)[C@H]2[C@@H](Nc3ccc(Cl)cc23)C(=O)N)cc(C(F)(F)F)c1)=O
A4,-9,C=Cc1ccc(cc1)CCNC(=O)[C@H]1[C@H](S(=O)(=O)c2cc(C)cc(c2)C)c2c(N1)ccc(Cl)c2
A5,-9.4,C(=Cc1ccc(cc1)C(=O)C(NC(=O)[C@H]1[C@H](S(=O)(=O)c2cc(C#N)cc(c2)C#N)c2c(N1)ccc(Cl)c2)(F)F)(F)F
A6,-8.9,C(=Cc1ccc(cc1)C(=O)C(=O)c1cc(cc(C(F)(F)F)c1)S(=O)(=O)[C@H]1[C@@H](Nc2ccc(Cl)cc12)C(=O)N)=O
A7,-6.6,C=Cc1ccc(cc1)CC[C@]1(S(=O)(=O)c2cc(C)cc(c2)C)[C@@H](Nc2ccc(Cl)cc12)C(=O)N
A8,-7.9,C=Cc1ccc(cc1)C[C@@]1([C@H](S(=O)(=O)c2cc(C)cc(c2)C)c2c(N1)ccc(Cl)c2)C(=O)N
A9,-8.4,C=Cc1ccc(cc1)C(=O)[C@@]1([C@](S(=O)(=O)c2cc(C(=O)F)cc(c2)C(=O)F)(c2c(N1)ccc(Cl)c2)F)C(=O)N
A10,-8.6,C(=Cc1ccc(cc1)C(=O)c1c(C=O)cc(S(=O)(=O)[C@]2([C@@](Nc3ccc(Cl)cc23)(C(=O)N)F)F)cc1C=O)(F)F
B1,-8.4,Cc1cc(Sc2c([nH]c3c2cc(Cl)cc3)C(=O)Nc2ncccn2)cc(C)c1
B2,-8.6,Cc1cc(Sc2c([nH]c3c2cc([Cl+]c2ncccn2)cc3)C(=O)N)cc(C)c1
B3,-7.8,C(=O)c1cc([S@@](=O)c2c([nH]c3c2cc(Cl)cc3c2ncccn2)C(=O)N)cc(C=O)c1
B4,-8,C(=O)c1cc([S@@](=O)c2c([nH]c3c2cc(Cl)cc3)C(=O)N=O)cc(C=O)c1Oc1ncccn1
B5,-7.7,C(=O)c1cc(S(=O)(=O)c2c([nH]c3c2cc(Cl)cc3)C(=O)Nc2ncccn2)cc(C=O)c1
B6,-9.1,C(c1cc(S(=O)(=O)c2c([nH]c3c2cc(Cl)cc3)C(=O)NC(=O)N)cc(Cc2ncccn2)c1)c1ncccn1
B7,-9,C(=[O]\C(=O)O)(/c1cc(Sc2c([nH]c3c2cc(Cl)cc3)C(=N)Oc2ncccn2)cc(/C(=[O]/C(=O)O)/O)c1)\O
B8,-7.9,C(=O)c1cc(S(=O)(=O)c2c([nH]c3c2cc(Cc2ncccn2)cc3)C(=O)NCc2ncccn2)cc(C=O)c1
